Step,c_myRG2compute_poly1,c_myRG2compute_poly2,c_myRG2compute_poly3,c_myRG2compute_poly4,c_myRG2compute_poly5,c_myRG2compute_poly6,c_myRG2compute_poly7,c_myRG2compute_poly8,c_myRG2compute_poly9,c_myRG2compute_poly10,Temp,PotEng,KinEng,TotEng
365000,1.7519172,1.4840003,2.2965782,1.8937461,1.7318472,1.0846273,1.8816857,2.4133179,2.2489753,1.5526116,0.95132143,0.39707227,1.4198472,1.8169195
370000,1.8295142,1.414,2.3277888,1.8600569,1.789728,1.048899,1.9552184,2.6921751,2.393171,1.7147902,1.0853911,0.41550271,1.6199462,2.0354489
375000,1.9743917,1.3606586,2.7207146,1.7917484,1.9127025,1.0961246,2.2069355,2.7849382,2.3339375,1.6982685,1.091188,0.41349897,1.6285981,2.042097
380000,2.0012854,1.2426943,2.6209014,1.672716,2.0209973,1.4485105,2.0996774,2.6300508,2.2167787,1.7202791,1.0113937,0.58261378,1.5095051,2.0921189
385000,1.9688621,1.3510057,2.6162803,1.6674306,2.1573933,1.4319734,2.1107424,2.612843,2.263879,1.8036115,0.86905209,0.42648738,1.2970602,1.7235476
390000,2.0515784,1.5270585,2.5111155,1.729189,2.1989132,1.3507526,1.8721133,2.6170168,2.1320313,1.5390819,1.0508877,0.46670318,1.5684499,2.0351531
395000,2.1280957,1.4443869,2.4590978,1.955252,2.3585102,1.4052307,1.8319354,2.8853907,2.0231591,1.470197,1.0767531,0.53910059,1.6070541,2.1461547
405000,2.138478,1.5368209,2.2984964,1.7853475,2.431592,1.0051391,1.3366262,2.448458,2.0506578,1.4982654,1.020297,0.48523745,1.5227933,2.0080307
410000,2.2376318,1.5196299,2.2544589,1.5862376,2.2944889,1.0999369,1.4282745,2.3696675,2.1781497,1.4477766,1.071374,0.39277548,1.5990256,1.9918011
415000,2.1847297,1.4363217,2.3148051,1.6978011,2.3497226,1.0975267,1.5221448,2.5510474,2.2312399,1.3076058,1.1348667,0.41664734,1.6937886,2.1104359
420000,2.4391299,1.4150984,2.6804648,1.8751273,2.2240232,1.0873493,1.3566031,2.5084452,2.2641762,1.4129738,0.99546132,0.46525564,1.485726,1.9509817
425000,2.4917809,1.3948976,2.6615826,1.5691613,2.1935215,1.115313,1.4793248,2.4862936,2.2758413,1.4267812,1.0196157,0.49578221,1.5217764,2.0175586
430000,2.7144351,1.4342475,2.301151,1.6825263,2.2947978,1.1675022,1.3157565,2.4952599,2.3434543,1.3802725,1.1000962,0.46725199,1.6418936,2.1091456
435000,2.6417323,1.3512929,2.197437,1.5330979,2.1018166,1.2551892,1.4703765,2.4962673,2.1492926,1.4886331,0.94756648,0.61697816,1.414243,2.0312211
445000,2.3377825,1.4409514,2.5058335,1.6799094,1.9035987,1.2014379,1.8927846,2.657724,1.9425152,1.4165977,1.0192248,0.54776258,1.521193,2.0689556
450000,2.462755,1.224444,2.4817714,1.8823931,1.8240809,1.263957,1.9591333,2.5825016,1.8856535,1.6177229,1.0392551,0.44765215,1.5510883,1.9987404
455000,2.6031599,1.2059531,2.6670574,2.2601075,1.7626773,1.4780468,1.9149592,2.3735595,1.8440418,1.3401768,0.96171007,0.42949178,1.4353523,1.8648441
460000,2.5620374,1.3166065,2.6383818,2.3096098,1.8212507,1.4986977,1.7179176,2.2599865,1.8136307,1.3332552,0.97110737,0.40225022,1.4493777,1.851628
465000,2.5784156,1.4433558,2.5147252,2.2494418,1.7202002,1.2980153,1.7033364,2.0616843,1.869195,1.190359,0.91571176,0.43003313,1.3666998,1.7967329
470000,2.7082316,1.3380032,2.4026604,2.2290698,1.9159407,1.3731042,1.600931,2.0913033,1.7632461,1.2388438,0.90756368,0.43976691,1.3545388,1.7943057
480000,2.6169603,1.5477362,2.5485028,2.4407841,2.0277392,1.4651908,1.4451022,2.1732999,1.7187143,1.490696,0.98539147,0.48536084,1.4706968,1.9560576
485000,2.6230016,1.7773303,2.4209343,2.5161305,1.8493485,1.5745531,1.4649386,2.0702036,1.9829433,1.497513,1.0171838,0.52249995,1.5181468,2.0406468
490000,2.552122,1.7512581,2.558894,2.3245103,1.8567684,1.4887692,1.3903852,2.1338575,1.9904426,1.5436322,1.0135608,0.50726022,1.5127395,2.0199997
500000,2.6302736,2.1859207,2.5001501,2.2136784,2.2251199,1.3277438,1.4226678,1.9201718,2.335323,1.5158749,1.0636359,0.41515309,1.5874766,2.0026297
505000,2.5827927,2.3628632,2.7844192,2.0993622,2.2459488,1.4235371,1.2868829,1.9031903,2.5303644,1.6101125,0.9286747,0.57532544,1.386047,1.9613724
510000,2.652711,2.1357629,2.4098941,2.0043682,2.2733163,1.3067415,1.1545299,1.9952492,2.4179317,1.4635425,1.096115,0.44374964,1.6359516,2.0797012
515000,2.7188757,2.1064045,2.1861316,1.884074,2.0146418,1.418822,1.0373642,1.7685973,2.6018373,1.4860141,1.0350542,0.42317678,1.5448184,1.9679952
520000,2.8061881,1.9100651,2.0180511,1.9699783,2.2021378,1.3262319,1.0522474,1.7173648,2.5895258,1.5250249,1.0150894,0.41038479,1.5150209,1.9254057
525000,2.687658,1.7530777,1.9334679,1.6939484,2.2230628,1.2547565,1.0254423,1.7085003,2.6710936,1.5826564,0.98789505,0.42868679,1.4744334,1.9031202
535000,2.5901997,1.7537331,1.773156,1.7139187,2.1464338,1.3094823,1.3311803,1.6384993,2.2060881,1.730292,0.99778673,0.53490461,1.4891967,2.0241013
545000,2.7419344,1.7759952,1.7610551,1.4887199,1.7817781,1.319821,1.6286849,1.714647,1.9103503,1.4741294,1.0676466,0.36922826,1.5934625,1.9626908
550000,2.733787,1.7464057,1.7278908,1.4832667,1.74724,1.2733824,1.7091735,1.7464663,1.7087128,1.5276398,0.93355308,0.49213299,1.393328,1.885461
560000,2.6614292,1.5832238,2.039396,1.4525489,1.8276919,1.3079346,1.6141155,1.6320735,1.6946951,1.6558095,1.0025895,0.53797743,1.4963649,2.0343423
565000,2.6228892,1.4696834,2.0131737,1.1953236,1.6260372,1.4981003,1.6730953,1.9706604,1.4087214,1.6610392,1.0120767,0.48073858,1.5105245,1.9912631
575000,2.6027046,1.4953592,1.7569323,1.3202986,1.7353976,1.5842501,1.8826477,2.0630719,1.4020524,1.5466902,0.98244252,0.47272303,1.4662955,1.9390185
580000,2.7735384,1.3888413,1.6402894,1.3877277,1.7767927,1.5744145,2.1011577,2.0023078,1.5381524,1.4670959,1.0035101,0.54021578,1.4977388,2.0379546
590000,2.8557043,1.3334599,1.5709518,1.3523635,1.5644591,1.7167011,2.1406577,1.845869,1.3803327,1.4274886,1.1162736,0.48403982,1.6660384,2.1500782
595000,2.9162138,1.4256805,1.6996683,1.3780479,1.5018421,1.7151067,2.1028702,1.8640759,1.1342279,1.5863259,1.0556655,0.47014379,1.5755807,2.0457245
600000,2.8955016,1.31017,1.5130533,1.2314079,1.3878691,1.6272707,2.0283606,1.9749234,1.0529622,1.6909379,0.92554728,0.45893307,1.3813793,1.8403124
610000,3.1965178,1.3390939,1.5122918,1.5213224,1.6429574,1.5789611,2.0377441,1.8462821,1.285439,1.7589318,0.97445453,0.57649042,1.4543734,2.0308638
615000,3.236087,1.455853,1.6278384,1.4550826,1.7341675,1.5623336,2.1044418,1.762435,1.297203,1.7051584,1.0219778,0.39516479,1.5253019,1.9204667
625000,2.9673158,1.6840846,1.4545666,1.4316019,1.9045028,1.4848724,1.8772389,1.8899315,1.1469379,2.0476195,0.95611444,0.48990898,1.4270008,1.9169098
635000,2.7040111,1.7857816,1.7997156,1.3156171,1.765837,1.4593244,1.8816371,1.9144811,1.2659827,1.9114416,0.96871538,0.56839964,1.4458077,2.0142073
640000,2.7903276,1.6870462,1.814475,1.5342502,1.7055427,1.4166758,2.0419087,1.9529536,1.234288,1.908062,1.0119988,0.54935776,1.5104082,2.059766
645000,2.7580376,1.65614,1.8251727,1.5426695,1.7815305,1.5680784,2.3612293,1.7701082,1.6230474,1.9628936,0.95248003,0.57041987,1.4215764,1.9919963
650000,3.0251224,1.5286341,1.8737294,1.3740884,1.6105997,1.5259702,2.5185614,1.8769602,1.3955479,1.9124508,0.92746688,0.403889,1.3842443,1.7881333
660000,2.7248701,1.3070987,1.8220235,1.4199866,1.5060262,1.5858527,2.5090483,1.8920405,1.577037,1.8572486,1.0211736,0.50498712,1.5241015,2.0290887
665000,2.6209846,1.4725107,1.9073563,1.4809972,1.6176308,1.5479405,2.5059816,1.8933264,1.5589997,1.8310741,1.0576809,0.42896696,1.5785887,2.0075557
670000,2.6330511,1.7261813,1.9855613,1.4474128,1.9224125,1.8063485,2.5331008,1.6974605,1.629232,1.6903331,1.0101972,0.52114809,1.5077193,2.0288674
675000,2.7805133,1.6749642,2.2270395,1.4417578,1.9139726,2.0649831,2.5796492,1.6650112,1.4627489,1.7812826,0.99205446,0.3854322,1.4806413,1.8660735
680000,3.0984259,1.6561168,2.1577811,1.4243276,2.1733423,2.1855104,2.7591635,1.6268595,1.5994218,1.9412389,1.0018385,0.45076559,1.495244,1.9460096
685000,2.7351039,1.3704462,1.9675863,1.6746569,2.0739123,2.2759975,2.7491767,1.5509148,1.7587683,1.9568087,0.92043615,0.46226456,1.373751,1.8360155
690000,2.7600333,1.5955547,2.1194467,1.7972595,2.1978652,2.3904758,2.828535,1.6350594,1.6885562,1.8030326,1.0335648,0.44744958,1.5425955,1.9900451
695000,2.7129426,1.2762773,2.0588658,1.8469764,2.0379013,2.1585016,2.7261003,1.3316782,1.7353304,1.7022954,1.115677,0.47032507,1.665148,2.135473
700000,2.8664942,1.2603955,2.0011555,1.667309,2.0792002,1.950703,2.7632608,1.5135102,1.6764662,1.5322748,1.0034595,0.47314678,1.4976633,1.9708101
705000,3.0193384,1.1467767,1.8385335,1.8628381,1.8599009,1.9308919,2.8092002,1.5183645,1.7884548,1.247501,0.97442701,0.48565754,1.4543323,1.9399899
710000,3.2525467,1.207879,2.0412331,1.7990403,1.8891512,1.918188,2.917254,1.4623741,1.6792576,1.2596293,0.98158514,0.36543351,1.4650158,1.8304493
715000,3.2599018,1.3300503,1.9494963,1.6447322,1.9201752,1.9812317,2.9817479,1.4106975,1.6667614,1.3089801,0.92919214,0.44740628,1.3868193,1.8342256
720000,2.8958722,1.2262395,2.0033269,1.5652756,1.8889521,1.9655741,2.860001,1.4018713,1.6237406,1.438874,1.041181,0.54524164,1.5539626,2.0992043
725000,3.0125239,1.1411753,2.0352598,1.7176487,1.9899342,2.0268003,2.9647171,1.4499918,1.8307263,1.45024,0.86882616,0.48810823,1.296723,1.7848313
730000,2.8711935,1.4036434,1.7671286,1.6613243,2.029683,1.9571793,2.9210243,1.4405646,2.0538796,1.5141062,0.96131323,0.55141985,1.43476,1.9861798
