Step,c_myRG2compute_poly1,c_myRG2compute_poly2,c_myRG2compute_poly3,c_myRG2compute_poly4,c_myRG2compute_poly5,c_myRG2compute_poly6,c_myRG2compute_poly7,c_myRG2compute_poly8,c_myRG2compute_poly9,c_myRG2compute_poly10,Temp,PotEng,KinEng,TotEng
480000,2.0561762,1.6947059,2.9505686,2.6649009,2.1221761,1.6762957,1.9242969,1.5245871,1.859421,1.3741353,0.9814943,0.47235109,1.4648802,1.9372313
490000,2.0120393,1.7817712,2.9117156,2.3764633,1.9486655,1.7074599,1.7652446,1.517441,1.8736947,1.5053606,1.0043165,0.42005801,1.4989423,1.9190003
495000,2.0724705,1.9134852,3.0932495,2.4518597,2.068745,1.7843152,1.5194673,1.4283521,2.0346472,1.5406711,0.96072888,0.45358277,1.4338878,1.8874706
505000,2.0014545,2.2803078,3.1812665,2.1482858,2.3440849,1.5246993,1.4553003,1.3265099,2.100493,1.5701492,0.94433225,0.54126399,1.4094159,1.9506799
515000,2.2049909,1.9252239,2.5115001,1.9075295,2.1589199,1.4666517,1.5278897,1.3334881,2.1052876,1.3640977,1.0339138,0.41549674,1.5431163,1.9586131
520000,2.3507795,1.7652777,2.3170857,2.0363696,2.3570914,1.337459,1.5128912,1.3706618,2.0087643,1.3453608,1.0023025,0.41995575,1.4959365,1.9158923
530000,2.1466297,1.7984365,2.1611461,1.921425,2.2316436,1.2032207,1.5653993,1.3967494,2.0453949,1.4493144,0.85727807,0.43103384,1.2794875,1.7105214
540000,2.1880118,1.6604827,2.0544393,1.7533382,2.0997098,1.3715829,1.877145,1.5101115,1.6966048,1.4119677,1.057127,0.48243879,1.577762,2.0602008
545000,2.3435439,1.6809866,2.019058,1.775991,1.8768924,1.4551007,2.1320474,1.4223682,1.5660898,1.3291244,1.0260423,0.43023103,1.5313681,1.9615992
555000,2.153383,1.5441833,2.0403145,1.6790941,1.8574724,1.3889857,1.9965702,1.4146261,1.4953471,1.4855727,1.019516,0.50573922,1.5216276,2.0273669
565000,2.2049504,1.5396083,2.0446996,1.5380712,1.6568777,1.5016123,2.1194987,1.658333,1.0313194,1.5017442,1.0030538,0.48898477,1.4970579,1.9860426
570000,2.2619088,1.5939652,1.9231771,1.6811834,1.6070806,1.5037932,2.3830516,1.8062787,1.155935,1.7544504,0.93207139,0.43678896,1.3911166,1.8279055
580000,2.4240721,1.3639913,1.7157728,1.7281744,1.7762687,1.6175479,2.5627179,1.7562573,1.2583345,1.6383224,1.0090483,0.52516919,1.5060045,2.0311737
590000,2.506377,1.2417629,1.6526115,1.8092036,1.6037902,1.7494628,2.5525452,1.7268437,1.168137,1.540544,1.1149717,0.51989593,1.6640953,2.1839912
600000,2.5855546,1.1475163,1.5312853,1.6512303,1.3522834,1.6543452,2.3286999,1.8368371,0.97733334,1.7557469,0.94203251,0.45803573,1.4059835,1.8640193
605000,2.8193803,1.2937816,1.4809946,1.8563793,1.4275474,1.7323515,2.1167348,1.7211103,1.1362956,1.9143126,1.0003123,0.3643496,1.4929661,1.8573157
610000,2.9054679,1.2631691,1.5079458,2.0103843,1.5682552,1.580508,2.2599468,1.6342386,1.0839497,1.8158729,0.97606267,0.55646039,1.4567735,2.0132339
615000,2.9487172,1.3103364,1.6037793,1.8912537,1.6390472,1.5455992,2.3849877,1.5796332,1.1193329,1.7198085,1.0018535,0.3809903,1.4952664,1.8762567
620000,2.894657,1.4746498,1.7047719,1.6440713,1.7040361,1.5282233,2.2585051,1.5605763,1.0755702,1.9951985,1.0499795,0.58544366,1.5670944,2.1525381
625000,2.7265247,1.4878241,1.4745689,1.8236637,1.8775436,1.4550629,2.0760511,1.7789563,0.96464419,2.0043998,0.95516196,0.51526663,1.4255792,1.9408459
635000,2.4959965,1.6227738,1.8864865,1.7379229,1.7056391,1.3035887,2.1631157,1.7977047,1.2359155,1.9158712,0.95046783,0.60459935,1.4185732,2.0231726
640000,2.572642,1.5447859,1.9400829,1.9721606,1.6659124,1.2573192,2.3092318,1.8301198,1.1203877,1.9060168,1.0139401,0.5711322,1.5133056,2.0844378
645000,2.530236,1.5723282,1.9433577,1.9282969,1.7383171,1.4240983,2.624186,1.5769617,1.5215327,1.9398865,0.94028571,0.58966197,1.4033764,1.9930384
655000,2.6372774,1.300142,2.0266829,1.8028534,1.5601648,1.3964521,2.6577318,1.8093649,1.2879247,1.8133557,0.91695877,0.46868188,1.368561,1.8372428
660000,2.5148925,1.1470657,1.8870006,1.8657722,1.4452826,1.4736066,2.774331,1.7889065,1.5202889,1.8493246,1.0062923,0.51717912,1.5018913,2.0190704
665000,2.4162469,1.3697394,2.0141265,1.9175874,1.5748955,1.4155003,2.7740747,1.6864456,1.5268366,1.7599394,1.0622055,0.42895806,1.5853416,2.0142997
675000,2.5399608,1.5448407,2.3424167,1.8567944,1.8586866,1.9553247,2.824046,1.4505235,1.627181,1.7271969,0.99880587,0.3857199,1.4907178,1.8764377
680000,2.8397209,1.5281777,2.2428031,1.8305396,2.1125733,2.0494702,2.9732185,1.3997735,1.6968638,1.8813082,1.0057736,0.44433975,1.501117,1.9454568
690000,2.5158145,1.5271964,2.1670018,2.183094,2.1524976,2.3323296,2.9991468,1.393851,1.7318356,1.7791133,1.0242765,0.46079881,1.5287326,1.9895314
695000,2.4985241,1.242363,2.0891575,2.2080286,1.9781202,2.1239859,2.8839606,1.1013405,1.6521695,1.6450045,1.1293718,0.45713533,1.6855875,2.1427228
705000,2.8207541,1.0666474,1.8536682,2.2019641,1.8135039,1.8360381,2.9713763,1.2877075,1.6876367,1.1829602,0.99082755,0.4620496,1.4788101,1.9408597
710000,3.0270425,1.2306456,2.0574608,2.1706312,1.855844,1.8312936,3.1508829,1.3411388,1.5540405,1.0604269,0.9631123,0.38010169,1.4374451,1.8175468
720000,2.6649564,1.2130134,2.0619426,1.8759411,1.8747182,1.8926176,3.0825316,1.303679,1.4451095,1.3410526,1.0334931,0.52706632,1.5424885,2.0695548
725000,2.7576224,1.1343669,2.0814833,1.9809328,1.9636259,1.984804,3.1706612,1.3757781,1.6582363,1.3948697,0.87152286,0.49113488,1.3007479,1.7918827
