Step,Temp,PotEng,KinEng,TotEng,Press,Density,c_MSD[1],c_MSD[2],c_MSD[3]
3994,2.2462079,2.3136586,3.3524653,5.6661239,0.013717822,0.025,780.10487,806.87547,806.25653
4021,1.8504895,2.625112,2.7618555,5.3869675,-0.0026847629,0.025,782.06255,807.94172,805.96605
4048,2.0214812,2.4894481,3.0170606,5.5065088,-0.0017427946,0.025,782.35845,808.88326,806.05011
4051,2.1315636,2.4043428,3.1813587,5.5857015,0.0026688188,0.025,782.32959,808.98771,806.15441
4075,2.0277866,2.4808546,3.0264715,5.5073261,-0.0012509873,0.025,782.41965,809.86128,807.66811
4102,1.9147605,2.6398275,2.8577801,5.4976076,-0.0011782782,0.025,783.50591,810.79777,809.83163
4129,2.1676513,2.3814979,3.2352196,5.6167175,0.011331697,0.025,785.6154,811.78806,810.48932
4156,1.8491652,2.7061912,2.7598791,5.4660703,-0.0087954131,0.025,786.56595,812.77552,810.21987
4183,2.2415646,2.2835362,3.3455351,5.6290713,0.0067579829,0.025,786.3314,813.69415,811.05472
4186,2.1023601,2.4007352,3.1377725,5.5385077,0.0012380349,0.025,786.35064,813.79868,811.2285
4190,1.8975681,2.5933662,2.8321204,5.4254866,-0.0069083058,0.025,786.39899,813.93874,811.47746
4194,1.7157302,2.7804045,2.5607274,5.3411319,-0.014072098,0.025,786.47226,814.07915,811.74364
4197,1.6183178,2.8873927,2.3815427,5.2949483,-0.018534317,0.025,786.56906,814.21951,812.02491
4201,1.5610669,2.9569384,2.3298923,5.2868307,-0.019427181,0.025,786.65662,814.3246,812.24475
4205,1.595897,2.9298494,2.3818763,5.3117258,-0.017033464,0.025,786.79352,814.4643,812.54824
4208,1.6789039,2.8510029,2.5057641,5.356767,-0.01274579,0.025,786.91204,814.5687,812.78219
4214,1.9450478,2.5996478,2.9029839,5.5026317,0.00010518918,0.025,787.1938,814.77624,813.25776
4217,2.0939001,2.4645846,3.1251459,5.5897305,0.0071526949,0.025,787.35888,814.87924,813.49303
4221,2.2642255,2.3183086,3.3793566,5.6976652,0.015275618,0.025,787.605,815.01565,813.79435
4224,2.3498517,2.2514939,3.5071536,5.7586475,0.019506999,0.025,787.80841,815.15113,814.07032
4228,2.3965507,2.221117,3.5768519,5.7979689,0.022123148,0.025,788.10162,815.25236,814.25323
4232,2.3769016,2.2339225,3.5475257,5.7814482,0.0216169,0.025,788.41437,815.38736,814.45662
4235,2.3203635,2.2713327,3.4631426,5.7344752,0.019242809,0.025,788.73864,815.52302,814.60803
4239,2.1870791,2.3756336,3.2642156,5.6398492,0.013357778,0.025,788.98305,815.62554,814.68674
4243,2.0092959,2.5349284,2.9988741,5.5338025,0.0052587664,0.025,789.30043,815.76361,814.74792
4246,1.8706609,2.6708209,2.7919613,5.4627823,-0.0012609283,0.025,789.52504,815.86835,814.76465
4252,1.6517776,2.9063785,2.4652781,5.3716566,-0.012217126,0.025,789.91874,816.08108,814.74016
4255,1.597463,2.9727631,2.3842135,5.356898,-0.016055538,0.025,790.12796,816.22524,814.69531
4258,1.5911865,2.9892074,2.3748459,5.3640532,-0.01658917,0.025,790.21434,816.29796,814.66835
4261,1.6355842,2.9519804,2.4411094,5.3930898,-0.01556752,0.025,790.32011,816.40772,814.62577
4264,1.7278259,2.8645361,2.5787802,5.4433163,-0.012490413,0.025,790.39725,816.51814,814.58402
4267,1.8583433,2.7381399,2.7735774,5.5117173,-0.007771803,0.025,790.44676,816.62893,814.54658
4269,1.958697,2.5910749,3.0008253,5.5919002,-0.0021038163,0.025,790.47077,816.73965,814.51658
4272,2.1136467,2.4925914,3.1546177,5.6472091,0.0017704365,0.025,790.4742,816.81316,814.50213
4275,2.2534706,2.3611475,3.3633049,5.7244524,0.0070370832,0.025,790.46356,816.9225,814.49064
4278,2.357401,2.2661021,3.518421,5.7845231,0.010921774,0.025,790.43835,817.03018,814.49326
4281,2.4121179,2.2174752,3.600086,5.8175612,0.012893466,0.025,790.40389,817.13562,814.51169
4352,2.0313125,2.5262796,3.0317339,5.5580135,0.0076989756,0.025,792.41306,819.46257,818.47594
4355,1.925795,2.6168446,2.8742491,5.4910937,0.0026700053,0.025,792.6301,819.55673,818.6026
4358,1.8299827,2.7044282,2.7312491,5.4356773,-0.0021548182,0.025,792.84567,819.65084,818.69912
4361,1.7531166,2.778737,2.6165265,5.3952635,-0.0063242807,0.025,793.05631,819.74568,818.76602
4365,1.6908223,2.8440455,2.5235524,5.3675978,-0.010293069,0.025,793.32326,819.87432,818.8189
4370,1.6884236,2.857577,2.5199722,5.3775492,-0.012061244,0.025,793.62287,820.0406,818.81136
4373,1.7298056,2.8257598,2.5817348,5.4074946,-0.011269112,0.025,793.77889,820.14396,818.78676
4376,1.8011697,2.76594,2.6882458,5.4541858,-0.0091748138,0.025,793.91401,820.25016,818.74995
4379,1.8975057,2.6824905,2.8320272,5.5145177,-0.0059961184,0.025,794.02648,820.35905,818.70592
4381,1.9717969,2.6168084,2.9429068,5.5597152,-0.003436991,0.025,794.08838,820.47019,818.65949
4385,2.1294727,2.4739489,3.178238,5.6521868,0.0021126466,0.025,794.18068,820.58293,818.61501
4388,2.2375326,2.3737301,3.3395174,5.7132475,0.005920458,0.025,794.22353,820.69633,818.57618
4390,2.294764,2.3201836,3.4249352,5.7451188,0.0078966734,0.025,794.24607,820.80926,818.5462
4393,2.3470542,2.2711909,3.5029784,5.7741693,0.009575448,0.025,794.25133,820.88367,818.53251
4396,2.3532391,2.2640645,3.5122094,5.7762739,0.0094892926,0.025,794.24738,820.99312,818.52316
4399,2.310873,2.3020695,3.448978,5.7510475,0.0075518748,0.025,794.23297,821.09908,818.52889
4402,2.2303046,2.3744066,3.3287296,5.7031363,0.0041663349,0.025,794.21235,821.20083,818.5511
4404,2.1647844,2.4319306,3.2309408,5.6628714,7.1966628e-05,0.025,794.18943,821.29806,818.59065
4407,2.0627333,2.5188234,3.0786294,5.5974529,-0.0026982213,0.025,794.17453,821.36044,818.62679
4534,1.7895587,2.7733856,2.6709164,5.444302,-0.011624918,0.025,797.93145,825.46954,822.72914
4561,2.2073256,2.465297,3.2944335,5.7597305,0.014209062,0.025,798.30087,826.24841,824.1098
4588,1.8182518,2.7378488,2.7137408,5.4515896,-0.0054997574,0.025,799.51603,827.15899,825.77282
4615,2.1243792,2.5942508,3.1706359,5.7648868,-0.0018472379,0.025,801.05409,827.9531,826.17322
4642,1.9017858,2.6379335,2.8384154,5.4763489,-0.0065903418,0.025,801.65947,828.91361,826.18967
4669,2.0782728,2.6033607,3.1018222,5.7051829,0.0072792111,0.025,801.74616,829.6042,827.28912
4696,1.9874311,2.5536927,2.9662409,5.5199336,0.0033049051,0.025,802.47417,830.51934,828.7542
4697,1.9522765,2.5897948,2.7703452,5.4667672,-0.0037101955,0.025,802.64338,830.94895,829.37371
4723,2.0313673,2.6236736,3.0318157,5.6554893,-0.0046810113,0.025,803.85789,831.28995,829.6647
4750,2.051948,2.4802484,3.0625324,5.5427808,-0.0011554141,0.025,805.07961,832.19019,829.69902
