Step,Temp,PotEng,KinEng,TotEng,Press,Density,c_MSD[1],c_MSD[2],c_MSD[3]
2613,1.9995321,0.39704707,2.9831973,3.3882524,0.030993947,0.025,192.35628,199.24532,197.48404
2618,1.9987922,0.40505511,2.9831973,3.3882524,0.030993947,0.025,192.35628,199.24532,197.48404
2619,1.998665,0.4072382,2.9830076,3.3902458,0.030983375,0.025,192.50131,199.39605,197.63204
2645,1.9979461,0.48831338,2.9819345,3.4702479,0.029804933,0.025,196.32169,203.3609,201.52792
2649,1.9981195,0.49969216,2.9821933,3.4818855,0.02954698,0.025,196.91819,203.97905,202.13608
2672,1.9995783,0.53613791,2.9843707,3.5205086,0.028218778,0.025,200.38296,207.56721,205.67175
2673,1.9996278,0.53661923,2.9844445,3.5210637,0.028172909,0.025,200.53461,207.7242,205.82669
2699,2.000189,0.53487847,2.985282,3.5201605,0.027408725,0.025,204.49612,211.82108,209.87969
2700,2.0001837,0.53368281,2.9852246,3.5189074,0.027355792,0.025,205.26158,212.61115,210.6636
2726,2.0007797,0.52279991,2.9861637,3.5089636,0.027574317,0.025,208.64404,216.09354,214.12735
2753,2.001001,0.47651227,2.986494,3.4630063,0.028700812,0.025,212.81018,220.36886,218.39267
2780,1.9999812,0.4578906,2.9849719,3.4428625,0.029447138,0.025,216.97998,224.65524,222.67093
2807,1.9997679,0.46529549,2.9846536,3.4499491,0.029359306,0.025,221.17517,228.98393,226.98867
2834,1.9987301,0.49443161,2.9831047,3.4775363,0.028514627,0.025,225.41914,233.36908,231.34973
2837,1.9986288,0.50058348,2.9829535,3.483537,0.02838462,0.025,225.89507,233.86116,231.83738
2861,1.999282,0.54338253,2.9839283,3.5273109,0.02761153,0.025,229.73946,237.84172,235.76598
2888,2.0010534,0.53566212,2.9865723,3.5222344,0.027971832,0.025,234.12021,242.39272,240.23217
2890,2.0012302,0.52975974,2.9869672,3.5167269,0.028103431,0.025,234.60865,242.90073,240.73034
2915,2.0013805,0.46741559,2.9870605,3.4544761,0.029311112,0.025,238.51397,246.96095,244.71937
2942,1.9996897,0.449465,2.9845369,3.4340019,0.029707907,0.025,242.91555,251.52749,249.2335
2945,1.9995219,0.45161257,2.9842865,3.435899,0.029663853,0.025,243.40684,252.03674,249.73891
2969,1.9990023,0.48487082,2.983511,3.4683818,0.028885986,0.025,247.36289,256.13866,253.82173
2996,1.9996838,0.50601615,2.9845281,3.4905442,0.027984839,0.025,251.86851,260.81651,258.49495
